Equipement;Type;Role_reseau;VLAN;Adresse_IP;Masque;Passerelle;Attribution
FW-NVT-01;Pare-feu;Passerelle et filtrage du reseau serveurs;50;10.50.0.1;255.255.255.0;203.0.113.1;Statique
RTR-NVT-01;Routeur;Routage inter-VLAN et gestion;40;10.40.0.1;255.255.255.0;10.50.0.1;Statique
SW-CORE-01;Switch principal;Administration du commutateur principal;40;10.40.0.2;255.255.255.0;10.40.0.1;Statique
AP-NVT-01;Borne Wi-Fi;Gestion de la borne et clients transportes sur le VLAN 60;40;10.40.0.21;255.255.255.0;10.40.0.1;Statique
SRV-INFRA-01;Serveur DNS / DHCP;DNS DHCP et NTP;50;10.50.0.10;255.255.255.0;10.50.0.1;Statique
SRV-FICHIERS-01;Serveur de fichiers;SMB et sauvegardes;50;10.50.0.20;255.255.255.0;10.50.0.1;Statique
PC-DIR-01;Poste Direction;Poste Direction;10;10.10.0.34;255.255.255.0;10.10.0.1;DHCP
PC-CPTA-07;Poste Comptabilite;Poste Comptabilite;20;10.20.0.47;255.255.255.0;10.20.0.1;DHCP
PC-COM-12;Poste Commercial;Poste Commercial;30;10.30.0.62;255.255.255.0;10.30.0.1;DHCP
PC-IT-02;Poste Informatique;Poste administration;40;10.40.0.18;255.255.255.0;10.40.0.1;Statique
